,iso2,year,sex,age,count
111,AE,2004,F,55-64,2.0
112,AE,2004,F,>65,3.0
113,AE,2006,M,15-24,5.0
114,AE,2006,M,25-34,3.0
115,AE,2006,M,35-44,7.0
116,AE,2006,M,45-54,3.0
117,AE,2006,M,55-64,1.0
118,AE,2006,M,>65,4.0
119,AE,2006,F,<14,2.0
120,AE,2006,F,15-24,6.0
121,AE,2006,F,25-34,4.0
122,AE,2006,F,35-44,5.0
123,AE,2006,F,45-54,3.0
124,AE,2006,F,55-64,4.0
125,AE,2006,F,>65,5.0
126,AE,2007,M,<14,2.0
127,AE,2007,M,15-24,5.0
128,AE,2007,M,25-34,6.0
129,AE,2007,M,35-44,3.0
130,AE,2007,M,45-54,4.0
131,AE,2007,M,55-64,3.0
132,AE,2007,M,>65,10.0
133,AE,2007,F,<14,1.0
134,AE,2007,F,15-24,8.0
135,AE,2007,F,25-34,6.0
136,AE,2007,F,35-44,3.0
137,AE,2007,F,45-54,2.0
138,AE,2008,M,15-24,6.0
139,AE,2008,M,25-34,1.0
140,AE,2008,M,35-44,7.0
141,AE,2008,M,45-54,5.0
142,AE,2008,M,55-64,3.0
143,AE,2008,M,>65,6.0
144,AE,2008,F,15-24,10.0
145,AE,2008,F,25-34,4.0
146,AE,2008,F,35-44,1.0
147,AE,2008,F,45-54,1.0
148,AE,2008,F,55-64,3.0
149,AE,2008,F,>65,3.0
150,AF,1997,M,15-24,10.0
151,AF,1997,M,25-34,6.0
152,AF,1997,M,35-44,3.0
153,AF,1997,M,45-54,5.0
154,AF,1997,M,55-64,2.0
155,AF,1997,F,<14,5.0
156,AF,1997,F,15-24,38.0
157,AF,1997,F,25-34,36.0
158,AF,1997,F,35-44,14.0
159,AF,1997,F,45-54,8.0
160,AF,1997,F,>65,1.0
161,AF,1998,M,<14,30.0
162,AF,1998,M,15-24,129.0
163,AF,1998,M,25-34,128.0
164,AF,1998,M,35-44,90.0
165,AF,1998,M,45-54,89.0
166,AF,1998,M,55-64,64.0
167,AF,1998,M,>65,41.0
168,AF,1998,F,<14,45.0
169,AF,1998,F,15-24,350.0
170,AF,1998,F,25-34,419.0
171,AF,1998,F,35-44,194.0
172,AF,1998,F,45-54,118.0
173,AF,1998,F,55-64,61.0
174,AF,1998,F,>65,20.0
175,AF,1999,M,<14,8.0
176,AF,1999,M,15-24,55.0
177,AF,1999,M,25-34,55.0
178,AF,1999,M,35-44,47.0
179,AF,1999,M,45-54,34.0
180,AF,1999,M,55-64,21.0
181,AF,1999,M,>65,8.0
182,AF,1999,F,<14,25.0
183,AF,1999,F,15-24,139.0
184,AF,1999,F,25-34,160.0
185,AF,1999,F,35-44,110.0
186,AF,1999,F,45-54,50.0
187,AF,1999,F,55-64,25.0
188,AF,1999,F,>65,8.0
189,AF,2000,M,<14,52.0
190,AF,2000,M,15-24,228.0
191,AF,2000,M,25-34,183.0
192,AF,2000,M,35-44,149.0
193,AF,2000,M,45-54,129.0
194,AF,2000,M,55-64,94.0
195,AF,2000,M,>65,80.0
196,AF,2000,F,<14,93.0
197,AF,2000,F,15-24,414.0
198,AF,2000,F,25-34,565.0
199,AF,2000,F,35-44,339.0
200,AF,2000,F,45-54,205.0
201,AF,2000,F,55-64,99.0
202,AF,2000,F,>65,36.0
203,AF,2001,M,<14,129.0
204,AF,2001,M,15-24,379.0
205,AF,2001,M,25-34,349.0
206,AF,2001,M,35-44,274.0
207,AF,2001,M,45-54,204.0
208,AF,2001,M,55-64,139.0
209,AF,2001,M,>65,103.0
210,AF,2001,F,<14,146.0
211,AF,2001,F,15-24,799.0
212,AF,2001,F,25-34,888.0
213,AF,2001,F,35-44,586.0
214,AF,2001,F,45-54,375.0
215,AF,2001,F,55-64,179.0
216,AF,2001,F,>65,89.0
217,AF,2002,M,<14,90.0
218,AF,2002,M,15-24,476.0
219,AF,2002,M,25-34,481.0
220,AF,2002,M,35-44,368.0
221,AF,2002,M,45-54,246.0
222,AF,2002,M,55-64,241.0
223,AF,2002,M,>65,189.0
224,AF,2002,F,<14,192.0
225,AF,2002,F,15-24,1119.0
226,AF,2002,F,25-34,1251.0
227,AF,2002,F,35-44,792.0
228,AF,2002,F,45-54,526.0
229,AF,2002,F,55-64,320.0
230,AF,2002,F,>65,218.0
231,AF,2003,M,<14,127.0
232,AF,2003,M,15-24,511.0
233,AF,2003,M,25-34,436.0
234,AF,2003,M,35-44,284.0
235,AF,2003,M,45-54,256.0
236,AF,2003,M,55-64,288.0
237,AF,2003,M,>65,203.0
238,AF,2003,F,<14,245.0
239,AF,2003,F,15-24,1152.0
240,AF,2003,F,25-34,1287.0
241,AF,2003,F,35-44,814.0
242,AF,2003,F,45-54,462.0
243,AF,2003,F,55-64,305.0
244,AF,2003,F,>65,158.0
245,AF,2004,M,<14,139.0
246,AF,2004,M,15-24,537.0
247,AF,2004,M,25-34,568.0
248,AF,2004,M,35-44,360.0
249,AF,2004,M,45-54,358.0
250,AF,2004,M,55-64,386.0
251,AF,2004,M,>65,310.0
252,AF,2004,F,<14,256.0
253,AF,2004,F,15-24,1360.0
254,AF,2004,F,25-34,1561.0
255,AF,2004,F,35-44,1096.0
256,AF,2004,F,45-54,645.0
257,AF,2004,F,55-64,413.0
258,AF,2004,F,>65,256.0
259,AF,2005,M,<14,151.0
260,AF,2005,M,15-24,606.0
261,AF,2005,M,25-34,560.0
262,AF,2005,M,35-44,472.0
263,AF,2005,M,45-54,453.0
264,AF,2005,M,55-64,470.0
265,AF,2005,M,>65,419.0
266,AF,2005,F,<14,320.0
267,AF,2005,F,15-24,1651.0
268,AF,2005,F,25-34,1959.0
269,AF,2005,F,35-44,1302.0
270,AF,2005,F,45-54,869.0
271,AF,2005,F,55-64,471.0
272,AF,2005,F,>65,246.0
273,AF,2006,M,<14,193.0
274,AF,2006,M,15-24,837.0
275,AF,2006,M,25-34,791.0
276,AF,2006,M,35-44,574.0
277,AF,2006,M,45-54,572.0
278,AF,2006,M,55-64,572.0
279,AF,2006,M,>65,410.0
280,AF,2006,F,<14,442.0
281,AF,2006,F,15-24,2139.0
282,AF,2006,F,25-34,2340.0
283,AF,2006,F,35-44,1654.0
284,AF,2006,F,45-54,1006.0
285,AF,2006,F,55-64,630.0
286,AF,2006,F,>65,309.0
287,AF,2007,M,<14,186.0
288,AF,2007,M,15-24,856.0
289,AF,2007,M,25-34,840.0
290,AF,2007,M,35-44,597.0
291,AF,2007,M,45-54,566.0
292,AF,2007,M,55-64,630.0
293,AF,2007,M,>65,507.0
294,AF,2007,F,<14,475.0
295,AF,2007,F,15-24,2224.0
296,AF,2007,F,25-34,2357.0
297,AF,2007,F,35-44,1708.0
298,AF,2007,F,45-54,1143.0
299,AF,2007,F,55-64,771.0
300,AF,2007,F,>65,353.0
301,AF,2008,M,<14,187.0
302,AF,2008,M,15-24,941.0
303,AF,2008,M,25-34,773.0
304,AF,2008,M,35-44,545.0
305,AF,2008,M,45-54,570.0
306,AF,2008,M,55-64,630.0
307,AF,2008,M,>65,575.0
308,AF,2008,F,<14,428.0
309,AF,2008,F,15-24,2094.0
310,AF,2008,F,25-34,2449.0
311,AF,2008,F,35-44,1614.0
312,AF,2008,F,45-54,1149.0
313,AF,2008,F,55-64,817.0
314,AF,2008,F,>65,364.0
315,AG,1996,M,45-54,1.0
316,AG,1996,F,35-44,1.0
317,AG,2000,M,>65,1.0
318,AG,2000,F,<14,1.0
319,AG,2000,F,15-24,1.0
320,AG,2000,F,25-34,1.0
321,AG,2001,F,15-24,1.0
322,AG,2002,M,25-34,1.0
323,AG,2002,F,<14,2.0
324,AG,2002,F,25-34,1.0
325,AG,2003,M,25-34,1.0
326,AG,2005,M,35-44,1.0
327,AG,2005,M,45-54,1.0
328,AG,2005,F,15-24,2.0
329,AG,2005,F,25-34,2.0
330,AG,2007,M,45-54,1.0
331,AG,2007,M,55-64,1.0
332,AG,2008,M,45-54,1.0
333,AI,2003,F,35-44,1.0
334,AL,1995,M,45-54,19.0
335,AL,1995,M,55-64,40.0
336,AL,1995,M,>65,30.0
337,AL,1995,F,15-24,1.0
338,AL,1995,F,45-54,13.0
339,AL,1995,F,55-64,20.0
340,AL,1995,F,>65,16.0
341,AL,1997,M,15-24,23.0
342,AL,1997,M,25-34,43.0
343,AL,1997,M,35-44,33.0
344,AL,1997,M,45-54,25.0
345,AL,1997,M,55-64,21.0
346,AL,1997,M,>65,19.0
347,AL,1997,F,<14,1.0
348,AL,1997,F,15-24,16.0
349,AL,1997,F,25-34,19.0
350,AL,1997,F,35-44,14.0
351,AL,1997,F,45-54,9.0
352,AL,1997,F,55-64,10.0
353,AL,1997,F,>65,8.0
354,AL,1998,M,<14,1.0
355,AL,1998,M,15-24,17.0
356,AL,1998,M,25-34,21.0
357,AL,1998,M,35-44,24.0
358,AL,1998,M,45-54,18.0
359,AL,1998,M,55-64,26.0
360,AL,1998,M,>65,24.0
361,AL,1998,F,<14,2.0
362,AL,1998,F,15-24,19.0
363,AL,1998,F,25-34,11.0
364,AL,1998,F,35-44,12.0
365,AL,1998,F,45-54,13.0
366,AL,1998,F,55-64,11.0
367,AL,1998,F,>65,13.0
368,AL,1999,M,15-24,13.0
369,AL,1999,M,25-34,23.0
370,AL,1999,M,35-44,25.0
371,AL,1999,M,45-54,19.0
372,AL,1999,M,55-64,15.0
373,AL,1999,M,>65,15.0
374,AL,1999,F,15-24,5.0
375,AL,1999,F,25-34,13.0
376,AL,1999,F,35-44,11.0
377,AL,1999,F,45-54,5.0
378,AL,1999,F,55-64,8.0
379,AL,1999,F,>65,16.0
380,AL,2000,M,<14,2.0
381,AL,2000,M,15-24,19.0
382,AL,2000,M,25-34,21.0
383,AL,2000,M,35-44,14.0
384,AL,2000,M,45-54,24.0
385,AL,2000,M,55-64,19.0
386,AL,2000,M,>65,16.0
387,AL,2000,F,<14,3.0
388,AL,2000,F,15-24,11.0
389,AL,2000,F,25-34,10.0
390,AL,2000,F,35-44,8.0
391,AL,2000,F,45-54,8.0
392,AL,2000,F,55-64,5.0
393,AL,2000,F,>65,11.0
394,AL,2001,M,<14,3.0
395,AL,2001,M,15-24,13.0
396,AL,2001,M,25-34,18.0
397,AL,2001,M,35-44,17.0
398,AL,2001,M,45-54,19.0
399,AL,2001,M,55-64,20.0
400,AL,2001,M,>65,30.0
401,AL,2001,F,<14,1.0
402,AL,2001,F,15-24,12.0
403,AL,2001,F,25-34,10.0
404,AL,2001,F,35-44,5.0
405,AL,2001,F,45-54,7.0
406,AL,2001,F,55-64,7.0
407,AL,2001,F,>65,9.0
408,AL,2002,M,15-24,21.0
409,AL,2002,M,25-34,27.0
410,AL,2002,M,35-44,29.0
411,AL,2002,M,45-54,19.0
412,AL,2002,M,55-64,23.0
413,AL,2002,M,>65,25.0
414,AL,2002,F,<14,2.0
415,AL,2002,F,15-24,20.0
416,AL,2002,F,25-34,19.0
417,AL,2002,F,35-44,9.0
418,AL,2002,F,45-54,6.0
419,AL,2002,F,55-64,8.0
420,AL,2002,F,>65,17.0
421,AL,2003,M,15-24,28.0
422,AL,2003,M,25-34,19.0
423,AL,2003,M,35-44,32.0
424,AL,2003,M,45-54,16.0
425,AL,2003,M,55-64,22.0
426,AL,2003,M,>65,19.0
427,AL,2003,F,<14,2.0
428,AL,2003,F,15-24,13.0
429,AL,2003,F,25-34,8.0
430,AL,2003,F,35-44,6.0
431,AL,2003,F,45-54,14.0
432,AL,2003,F,55-64,12.0
433,AL,2003,F,>65,20.0
434,AL,2004,M,<14,5.0
435,AL,2004,M,15-24,12.0
436,AL,2004,M,25-34,19.0
437,AL,2004,M,35-44,21.0
438,AL,2004,M,45-54,24.0
439,AL,2004,M,55-64,23.0
440,AL,2004,M,>65,20.0
441,AL,2004,F,<14,2.0
442,AL,2004,F,15-24,12.0
443,AL,2004,F,25-34,12.0
444,AL,2004,F,35-44,8.0
445,AL,2004,F,45-54,11.0
446,AL,2004,F,55-64,10.0
447,AL,2004,F,>65,22.0
448,AL,2005,M,15-24,26.0
449,AL,2005,M,25-34,21.0
450,AL,2005,M,35-44,16.0
451,AL,2005,M,45-54,31.0
452,AL,2005,M,55-64,20.0
453,AL,2005,M,>65,37.0
454,AL,2005,F,15-24,3.0
455,AL,2005,F,25-34,9.0
456,AL,2005,F,35-44,5.0
457,AL,2005,F,45-54,5.0
458,AL,2005,F,55-64,5.0
459,AL,2005,F,>65,18.0
460,AL,2006,M,<14,5.0
461,AL,2006,M,15-24,24.0
462,AL,2006,M,25-34,19.0
463,AL,2006,M,35-44,22.0
464,AL,2006,M,45-54,21.0
465,AL,2006,M,55-64,19.0
466,AL,2006,M,>65,20.0
467,AL,2006,F,<14,2.0
468,AL,2006,F,15-24,12.0
469,AL,2006,F,25-34,8.0
470,AL,2006,F,35-44,7.0
471,AL,2006,F,45-54,7.0
472,AL,2006,F,55-64,7.0
473,AL,2006,F,>65,13.0
474,AL,2007,M,15-24,19.0
475,AL,2007,M,25-34,13.0
476,AL,2007,M,35-44,16.0
477,AL,2007,M,45-54,24.0
478,AL,2007,M,55-64,16.0
479,AL,2007,M,>65,19.0
480,AL,2007,F,<14,2.0
481,AL,2007,F,15-24,13.0
482,AL,2007,F,25-34,9.0
483,AL,2007,F,35-44,7.0
484,AL,2007,F,45-54,7.0
485,AL,2007,F,55-64,11.0
486,AL,2007,F,>65,9.0
487,AL,2008,M,<14,1.0
488,AL,2008,M,15-24,23.0
489,AL,2008,M,25-34,26.0
490,AL,2008,M,35-44,13.0
491,AL,2008,M,45-54,19.0
492,AL,2008,M,55-64,13.0
493,AL,2008,M,>65,16.0
494,AL,2008,F,<14,1.0
495,AL,2008,F,15-24,20.0
496,AL,2008,F,25-34,10.0
497,AL,2008,F,35-44,8.0
498,AL,2008,F,45-54,5.0
499,AL,2008,F,55-64,5.0
500,AL,2008,F,>65,10.0
501,AM,1995,M,<14,1.0
502,AM,1995,M,15-24,18.0
503,AM,1995,M,25-34,16.0
504,AM,1995,M,35-44,11.0
505,AM,1995,M,45-54,10.0
506,AM,1995,M,55-64,8.0
507,AM,1995,M,>65,1.0
508,AM,1995,F,<14,1.0
509,AM,1995,F,15-24,1.0
510,AM,1995,F,25-34,7.0
511,AM,1995,F,35-44,2.0
512,AM,1995,F,45-54,1.0
513,AM,1995,F,55-64,1.0
514,AM,1996,M,<14,2.0
515,AM,1996,M,15-24,53.0
516,AM,1996,M,25-34,100.0
517,AM,1996,M,35-44,51.0
518,AM,1996,M,45-54,43.0
519,AM,1996,M,55-64,30.0
520,AM,1996,M,>65,7.0
521,AM,1996,F,15-24,9.0
522,AM,1996,F,25-34,11.0
523,AM,1996,F,35-44,9.0
524,AM,1996,F,45-54,8.0
525,AM,1996,F,55-64,4.0
526,AM,1997,M,<14,2.0
527,AM,1997,M,15-24,85.0
528,AM,1997,M,25-34,59.0
529,AM,1997,M,35-44,77.0
530,AM,1997,M,45-54,51.0
531,AM,1997,M,55-64,34.0
532,AM,1997,M,>65,12.0
533,AM,1997,F,<14,3.0
534,AM,1997,F,15-24,16.0
535,AM,1997,F,25-34,22.0
536,AM,1997,F,35-44,17.0
537,AM,1997,F,45-54,7.0
538,AM,1997,F,55-64,14.0
539,AM,1997,F,>65,1.0
540,AM,1998,M,<14,2.0
541,AM,1998,M,15-24,159.0
542,AM,1998,M,25-34,90.0
543,AM,1998,M,35-44,79.0
544,AM,1998,M,45-54,39.0
545,AM,1998,M,55-64,17.0
546,AM,1998,M,>65,15.0
547,AM,1998,F,<14,1.0
548,AM,1998,F,15-24,21.0
549,AM,1998,F,25-34,20.0
550,AM,1998,F,35-44,11.0
551,AM,1998,F,45-54,10.0
552,AM,1998,F,55-64,5.0
553,AM,1998,F,>65,6.0
554,AM,1999,M,<14,4.0
555,AM,1999,M,15-24,151.0
556,AM,1999,M,25-34,88.0
557,AM,1999,M,35-44,115.0
558,AM,1999,M,45-54,76.0
559,AM,1999,M,55-64,37.0
560,AM,1999,M,>65,20.0
561,AM,1999,F,<14,6.0
562,AM,1999,F,15-24,22.0
563,AM,1999,F,25-34,15.0
564,AM,1999,F,35-44,20.0
565,AM,1999,F,45-54,6.0
566,AM,1999,F,55-64,9.0
567,AM,1999,F,>65,7.0
568,AM,2000,M,<14,2.0
569,AM,2000,M,15-24,152.0
570,AM,2000,M,25-34,130.0
571,AM,2000,M,35-44,131.0
572,AM,2000,M,45-54,63.0
573,AM,2000,M,55-64,26.0
574,AM,2000,M,>65,21.0
575,AM,2000,F,<14,1.0
576,AM,2000,F,15-24,24.0
577,AM,2000,F,25-34,27.0
578,AM,2000,F,35-44,24.0
579,AM,2000,F,45-54,8.0
580,AM,2000,F,55-64,8.0
581,AM,2000,F,>65,4.0
582,AM,2001,M,<14,2.0
583,AM,2001,M,15-24,154.0
584,AM,2001,M,25-34,120.0
585,AM,2001,M,35-44,93.0
586,AM,2001,M,45-54,54.0
587,AM,2001,M,55-64,24.0
588,AM,2001,M,>65,9.0
589,AM,2001,F,<14,1.0
590,AM,2001,F,15-24,40.0
591,AM,2001,F,25-34,31.0
592,AM,2001,F,35-44,22.0
593,AM,2001,F,45-54,10.0
594,AM,2001,F,55-64,7.0
595,AM,2001,F,>65,5.0
596,AM,2002,M,<14,1.0
597,AM,2002,M,15-24,95.0
598,AM,2002,M,25-34,63.0
599,AM,2002,M,35-44,109.0
600,AM,2002,M,45-54,93.0
601,AM,2002,M,55-64,21.0
602,AM,2002,M,>65,14.0
603,AM,2002,F,<14,2.0
604,AM,2002,F,15-24,16.0
605,AM,2002,F,25-34,24.0
606,AM,2002,F,35-44,32.0
607,AM,2002,F,45-54,36.0
608,AM,2002,F,55-64,4.0
609,AM,2002,F,>65,1.0
610,AM,2003,M,<14,12.0
611,AM,2003,M,15-24,120.0
612,AM,2003,M,25-34,98.0
613,AM,2003,M,35-44,75.0
614,AM,2003,M,45-54,104.0
615,AM,2003,M,55-64,49.0
616,AM,2003,M,>65,18.0
617,AM,2003,F,<14,2.0
618,AM,2003,F,15-24,29.0
619,AM,2003,F,25-34,31.0
620,AM,2003,F,35-44,13.0
621,AM,2003,F,45-54,12.0
622,AM,2003,F,55-64,9.0
623,AM,2003,F,>65,3.0
624,AM,2004,M,<14,2.0
625,AM,2004,M,15-24,130.0
626,AM,2004,M,25-34,72.0
627,AM,2004,M,35-44,76.0
628,AM,2004,M,45-54,62.0
629,AM,2004,M,55-64,25.0
630,AM,2004,M,>65,24.0
631,AM,2004,F,<14,1.0
632,AM,2004,F,15-24,24.0
633,AM,2004,F,25-34,17.0
634,AM,2004,F,35-44,12.0
635,AM,2004,F,45-54,10.0
636,AM,2004,F,55-64,3.0
637,AM,2004,F,>65,3.0
638,AM,2005,M,<14,3.0
639,AM,2005,M,15-24,170.0
640,AM,2005,M,25-34,104.0
641,AM,2005,M,35-44,83.0
642,AM,2005,M,45-54,84.0
643,AM,2005,M,55-64,30.0
644,AM,2005,M,>65,24.0
645,AM,2005,F,<14,3.0
646,AM,2005,F,15-24,27.0
647,AM,2005,F,25-34,21.0
648,AM,2005,F,35-44,10.0
649,AM,2005,F,45-54,11.0
650,AM,2005,F,55-64,4.0
651,AM,2005,F,>65,7.0
652,AM,2006,M,15-24,113.0
653,AM,2006,M,25-34,116.0
654,AM,2006,M,35-44,96.0
655,AM,2006,M,45-54,98.0
656,AM,2006,M,55-64,38.0
657,AM,2006,M,>65,17.0
658,AM,2006,F,<14,3.0
659,AM,2006,F,15-24,28.0
660,AM,2006,F,25-34,29.0
661,AM,2006,F,35-44,16.0
662,AM,2006,F,45-54,15.0
663,AM,2006,F,55-64,7.0
664,AM,2006,F,>65,4.0
665,AM,2007,M,<14,1.0
666,AM,2007,M,15-24,81.0
667,AM,2007,M,25-34,87.0
668,AM,2007,M,35-44,100.0
669,AM,2007,M,45-54,92.0
670,AM,2007,M,55-64,29.0
671,AM,2007,M,>65,20.0
672,AM,2007,F,<14,2.0
673,AM,2007,F,15-24,31.0
674,AM,2007,F,25-34,22.0
675,AM,2007,F,35-44,11.0
676,AM,2007,F,45-54,7.0
677,AM,2007,F,55-64,7.0
678,AM,2007,F,>65,7.0
679,AM,2008,M,15-24,53.0
680,AM,2008,M,25-34,103.0
681,AM,2008,M,35-44,74.0
682,AM,2008,M,45-54,87.0
683,AM,2008,M,55-64,37.0
684,AM,2008,M,>65,15.0
685,AM,2008,F,<14,4.0
686,AM,2008,F,15-24,44.0
687,AM,2008,F,25-34,25.0
688,AM,2008,F,35-44,10.0
689,AM,2008,F,45-54,14.0
690,AM,2008,F,55-64,10.0
691,AM,2008,F,>65,11.0
692,AN,1996,M,45-54,1.0
693,AN,1996,M,55-64,1.0
694,AN,1996,M,>65,1.0
695,AN,1996,F,35-44,1.0
696,AN,1997,M,25-34,1.0
697,AN,1997,M,35-44,1.0
698,AN,1997,M,55-64,1.0
699,AN,1997,M,>65,3.0
700,AN,1997,F,25-34,2.0
701,AN,1997,F,35-44,2.0
702,AN,1997,F,45-54,1.0
703,AN,1997,F,55-64,1.0
704,AN,1997,F,>65,1.0
705,AN,1998,M,55-64,1.0
706,AN,1998,M,>65,2.0
707,AN,1998,F,15-24,1.0
708,AN,1998,F,35-44,2.0
709,AN,1998,F,45-54,1.0
710,AN,1999,M,25-34,1.0
711,AN,1999,M,45-54,1.0
712,AN,1999,F,15-24,1.0
713,AN,1999,F,25-34,1.0
714,AN,2000,M,25-34,1.0
715,AN,2000,M,35-44,2.0
716,AN,2000,F,25-34,1.0
717,AN,2000,F,55-64,1.0
718,AN,2001,M,25-34,1.0
719,AN,2001,M,35-44,5.0
720,AN,2001,F,25-34,1.0
721,AN,2001,F,55-64,1.0
722,AN,2002,M,15-24,1.0
723,AN,2002,M,25-34,1.0
724,AN,2002,M,35-44,3.0
725,AN,2002,M,45-54,2.0
726,AN,2002,M,55-64,3.0
727,AN,2002,M,>65,1.0
728,AN,2002,F,15-24,1.0
729,AN,2002,F,45-54,1.0
730,AN,2002,F,>65,1.0
731,AN,2003,M,25-34,2.0
732,AN,2003,M,35-44,1.0
733,AN,2003,M,>65,3.0
734,AN,2003,F,25-34,1.0
735,AN,2003,F,35-44,1.0
736,AN,2003,F,55-64,1.0
737,AN,2004,M,<14,1.0
738,AN,2004,M,15-24,1.0
739,AN,2004,M,35-44,4.0
740,AN,2004,M,45-54,3.0
741,AN,2004,M,>65,1.0
742,AN,2004,F,35-44,1.0
743,AN,2006,M,35-44,2.0
744,AN,2006,M,45-54,1.0
745,AN,2006,M,55-64,1.0
746,AN,2006,F,<14,1.0
747,AO,1995,M,<14,386.0
748,AO,1995,M,15-24,724.0
749,AO,1995,M,25-34,562.0
750,AO,1995,M,35-44,346.0
751,AO,1995,M,45-54,224.0
752,AO,1995,M,55-64,155.0
753,AO,1995,M,>65,14.0
754,AO,1995,F,<14,371.0
755,AO,1995,F,15-24,707.0
756,AO,1995,F,25-34,443.0
757,AO,1995,F,35-44,264.0
758,AO,1995,F,45-54,248.0
759,AO,1995,F,55-64,130.0
760,AO,1995,F,>65,18.0
761,AO,1996,M,<14,360.0
762,AO,1996,M,15-24,1036.0
763,AO,1996,M,25-34,926.0
764,AO,1996,M,35-44,1027.0
765,AO,1996,M,45-54,469.0
766,AO,1996,M,55-64,272.0
767,AO,1996,M,>65,169.0
768,AO,1996,F,<14,388.0
769,AO,1996,F,15-24,1066.0
770,AO,1996,F,25-34,963.0
771,AO,1996,F,35-44,615.0
772,AO,1996,F,45-54,370.0
773,AO,1996,F,55-64,242.0
774,AO,1996,F,>65,113.0
775,AO,1997,M,<14,419.0
776,AO,1997,M,15-24,913.0
777,AO,1997,M,25-34,1026.0
778,AO,1997,M,35-44,819.0
779,AO,1997,M,45-54,507.0
780,AO,1997,M,55-64,304.0
781,AO,1997,M,>65,193.0
782,AO,1997,F,<14,431.0
783,AO,1997,F,15-24,1165.0
784,AO,1997,F,25-34,1007.0
